Date,ItraxxMain,ItraxxXover,CDX_IG,SPX_Price,SPX_Volume,EuSt_Price,EuSt_Volume
2007-08-08,99.3227,97.1066,99.1086,1497.49,1947811072.0,4364.2202,1062401152.0
2007-08-09,99.1523,96.7719,98.8341,1453.09,2117318656.0,4275.1802,1247676672.0
2007-08-10,99.0431,96.2819,98.833,1453.64,1959576832.0,4161.29,1709678208.0
2007-08-13,99.1756,97.2842,98.5619,1452.92,1362821248.0,4255.79,888390912.0
2007-08-14,98.9611,96.6671,98.4487,1426.54,1445410432.0,4195.6001,861868032.0
2007-08-15,98.9313,96.4907,98.3323,1406.7,1598312192.0,4183.0601,511957824.0
2007-08-16,98.7783,95.5463,98.2672,1411.27,2409506560.0,4062.3301,1471497984.0
2007-08-17,99.0075,96.8469,98.6408,1445.94,2069152512.0,4157.2002,2009597696.0
2007-08-20,99.198,97.3087,98.6654,1445.55,1233014912.0,4173.29,887511488.0
2007-08-21,99.1451,97.1892,98.6943,1447.12,1141697536.0,4175.0698,833752192.0
2007-08-22,99.2823,97.5718,98.9764,1464.07,1176395776.0,4226.52,889144768.0
2007-08-23,99.4224,97.9029,99.0931,1462.5,1125910656.0,4225.8901,751993792.0
2007-08-24,99.3995,97.7348,99.1803,1479.37,981006208.0,4238.6299,592657280.0
2007-08-28,99.3114,97.2926,98.7607,1432.36,1193848448.0,4170.6802,853993216.0
2007-08-29,99.2444,97.1609,98.7584,1463.76,1154635648.0,4193.5801,1011569152.0
2007-08-30,99.1967,97.0494,98.6758,1457.64,1104995584.0,4246.1201,872247488.0
2007-08-31,99.2622,97.4451,98.8847,1473.99,1186755840.0,4294.5601,853738560.0
2007-09-04,99.2663,97.4643,98.9251,1489.42,1218364288.0,4324.3501,757833728.0
2007-09-05,99.217,97.4609,98.8084,1472.29,1193145344.0,4235.4102,960442368.0
2007-09-06,99.1486,97.3249,98.7757,1478.55,1076772352.0,4256.1201,999659456.0
2007-09-07,98.9931,96.9812,98.6432,1453.55,1252207488.0,4162.4199,1209578368.0
2007-09-10,98.897,96.4617,98.5258,1451.7,1130350208.0,4136.4502,1036083264.0
2007-09-11,98.9361,96.716,98.5952,1471.49,1104438016.0,4197.3501,872415040.0
2007-09-12,98.9597,96.7904,98.7004,1471.56,1117650688.0,4210.6899,936234176.0
